kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
5252423,CONFIRMED,8.10363271,887.9,3.161,2.11,4861.0,0.732,15.289
5252423,CONFIRMED,4.71510843,417.5,2.506,1.46,4861.0,0.732,15.289
5272878,CONFIRMED,6.365839713,780.7,2.9721,2.44,5776.0,0.849,15.09
5283542,FALSE POSITIVE,5.97581754,962.4,3.065,3.86,6108.0,0.997,15.546
5649215,FALSE POSITIVE,2.446737317,1177.9,4.7211,26.25,5764.0,0.863,15.021
5651104,CONFIRMED,3.04033046,10858.8,1.8411,8.99,5035.0,0.791,15.028
5792202,CONFIRMED,15.33528675,3081.4,3.897,5.0,5251.0,0.817,15.855
10875245,CONFIRMED,7.95825328,50.0,4.377,1.06,5847.0,1.402,12.487
5792202,CONFIRMED,31.33046135,5073.8,5.176,6.5,5251.0,0.817,15.855
5370302,FALSE POSITIVE,3.9043425,16228.4,3.831,12.28,5810.0,0.898,15.016
5372966,FALSE POSITIVE,9.286358079,44791.4,3.49949,17.61,5670.0,0.821,15.365
5376067,FALSE POSITIVE,3.951405455,2453.9,2.1862,31.44,6046.0,0.869,15.446
5436502,CONFIRMED,23.65369415,3341.8,8.2183,7.89,5739.0,1.384,15.084
5436502,CONFIRMED,13.23352214,504.6,6.7372,3.06,5739.0,1.384,15.084
5436502,CONFIRMED,6.15560285,285.0,4.9843,2.32,5739.0,1.384,15.084
5436502,CONFIRMED,2.090811305,115.9,3.388,1.62,5739.0,1.384,15.084
10875245,CONFIRMED,3.180027898,120.3,3.5797,1.53,5847.0,1.402,12.487
5436502,CONFIRMED,50.4467417,370.3,7.159,2.67,5739.0,1.384,15.084
5456651,CONFIRMED,11.76307164,1037.3,2.9076,2.35,4959.0,0.756,15.208
5456651,CONFIRMED,56.2279271,862.7,3.57,2.37,4959.0,0.756,15.208
5481416,FALSE POSITIVE,2.384052875,1268.1,3.0918,17.06,4794.0,0.701,15.836
5531576,CONFIRMED,7.953547,875.4,2.6312,2.25,4768.0,0.779,15.66
5531576,CONFIRMED,4.14451656,391.8,2.3421,1.48,4768.0,0.779,15.66
5534814,FALSE POSITIVE,4.859386384,6044.3,2.2757,38.33,6072.0,0.988,15.311
6291653,CONFIRMED,10.526294577,9768.0,2.5211,8.24,5386.0,0.793,15.305
6392727,CONFIRMED,4.583520948,3812.1,2.7055,5.39,5815.0,0.877,15.287
6422070,CONFIRMED,3.76181843,510.6,3.5176,2.66,5653.0,0.949,15.257
6428700,CONFIRMED,8.20396958,1024.4,2.9667,3.01,5015.0,0.826,15.376
6428700,CONFIRMED,14.49645186,647.5,4.016,3.01,5015.0,0.826,15.376
5792202,CONFIRMED,6.54626149,655.9,2.75,2.19,5251.0,0.817,15.855
