koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,ra,dec,target_planet,mission,tid,toi
2.160344,0.000276,-0.000276,2458654.347994,0.002094,-0.002094,1.828854,0.14481,-0.14481,19357.992992,1487.6189,-1487.6189,22.503541,17.500204,-17.500204,1245.1929616500001,477.24699895,,,5780.0,131.1,-131.1,4.32928,0.0852564,-0.0852564,1.2,0.06,-0.06,13.2851,286.36675,-50.06735,1,TESS,7088246,1065.01
4.606184,0.000392,-0.000392,2458657.832537,0.001239,-0.001239,3.121643,0.078877,-0.078877,13793.034867,1031.5532,-1031.5532,12.962219,0.582183,-0.582183,1245.1929616500001,477.24699895,,,5670.0,131.1,-131.1,4.3925,0.0852564,-0.0852564,1.07,0.06,-0.06,11.9707,285.096517,-54.893341,1,TESS,201604954,1066.01
3.1316735,3.3e-06,-3.3e-06,2458656.987874,0.000501,-0.000501,2.4579197,0.0815638,-0.0815638,14915.6943722,307.91364,-307.91364,9.4995191,0.3442331,-0.3442331,890.5622134,148.6544991,,,4351.0,167.0,-167.0,4.438,0.0852564,-0.0852564,0.76701,0.06,-0.06,13.1686,288.672005,-59.57935,1,TESS,201642601,1067.01
3.180362,0.000247,-0.000247,2458656.633231,0.001251,-0.001251,2.111521,0.106258,-0.106258,21192.463324,682.47424,-682.47424,13.446487,0.600679,-0.600679,1245.1929616500001,477.24699895,,,5498.0,131.1,-131.1,4.47934,0.0852564,-0.0852564,0.92,0.06,-0.06,13.2887,284.399762,-49.138513,1,TESS,6663331,1068.01
2.9776446,8e-07,-8e-07,2460147.378764,0.000256,-0.000256,2.962,0.099,-0.099,13022.0,123.052,-123.052,14.4339,0.765765,-0.765765,1461.0,758.324,,,5703.0,188.0,-188.0,4.25824,0.298282,-0.298282,1.22,0.06,-0.06,10.4293,289.479212,-32.860124,1,TESS,31858843,1069.01
3.9502008,2.6e-06,-2.6e-06,2460176.993334,0.000449,-0.000449,4.444,0.046,-0.046,13914.0,95.9899,-95.9899,20.5357,0.899664,-0.899664,1570.0,1009.38,,,6153.0,131.1,-131.1,4.18077,0.0852564,-0.0852564,1.71,0.07,-0.07,9.6433,313.783239,-34.135751,1,TESS,92352620,107.01
2.9776152,9.78e-05,-9.78e-05,2458655.579241,0.000532,-0.000532,3.25697,0.030226,-0.030226,43218.111683,416.72778,-416.72778,26.88423,0.196978,-0.196978,1386.5,873.27,,,5740.0,131.1,-131.1,4.29219,0.0852564,-0.0852564,1.28,0.06,-0.06,15.7114,289.478541,-32.861327,0,TESS,31858844,1070.01
3.5544026,2e-06,-2e-06,2458655.394059,0.000376,-0.000376,2.0550535,0.0377042,-0.0377042,10164.8753396,290.74887,-290.74887,13.200677,0.7620152,-0.7620152,1214.9876435,515.0014435,,,5639.0,188.0,-188.0,4.37172,2.00387,-2.00387,1.11499,0.0591758,-0.0591758,11.5803,280.184169,-58.459388,1,TESS,120247528,1071.01
12.8379689,0.0031236,-0.0031236,2459211.732146,0.002195,-0.002195,9.8464123,0.1878411,-0.1878411,10539.0192794,361.00934,-361.00934,25.4886382,1.376776,-1.376776,1225.0,374.129,,,5765.0,189.0,-189.0,4.34773,2.00358,-2.00358,2.4494,0.11699,-0.11699,11.7106,75.627307,-72.913998,0,TESS,140830390,1072.01
3.9228016,1.22e-05,-1.22e-05,2459036.472812,0.001293,-0.001293,1.8736007,0.0798146,-0.0798146,31510.9004906,1047.8658,-1047.8658,13.3368705,0.4312808,-0.4312808,788.0973496,91.167589,,,4444.0,168.0,-168.0,4.438,0.0852564,-0.0852564,0.6983,0.06,-0.06,13.6699,287.484402,-49.664942,1,TESS,158297421,1073.01
