kepid,koi_srad,koi_steff,koi_disposition
7118364,1.122,5754.0,CONFIRMED
7134976,0.833,4986.0,CONFIRMED
7134976,0.833,4986.0,CONFIRMED
7135852,0.517,3837.0,CONFIRMED
7270230,0.829,5612.0,FALSE POSITIVE
7287995,0.633,4261.0,CONFIRMED
7287995,0.633,4261.0,CONFIRMED
7287995,0.633,4261.0,CONFIRMED
3247396,2.404,6200.0,FALSE POSITIVE
7303253,0.721,4919.0,CONFIRMED
5094751,1.302,5945.0,CONFIRMED
7678434,0.888,5121.0,CONFIRMED
7678434,0.888,5121.0,CONFIRMED
7685981,0.961,6007.0,CONFIRMED
7708215,0.926,5811.0,FALSE POSITIVE
7373451,0.75,5067.0,CONFIRMED
7377033,0.603,5209.0,FALSE POSITIVE
7380537,0.639,4820.0,CANDIDATE
7434875,0.779,5097.0,CONFIRMED
8349582,1.411,5644.0,CONFIRMED
7434875,0.779,5097.0,CONFIRMED
7434875,0.779,5097.0,CONFIRMED
7455287,0.47,3713.0,CONFIRMED
7455287,0.47,3713.0,CONFIRMED
7455287,0.47,3713.0,CONFIRMED
7458762,0.919,5849.0,CONFIRMED
7552344,0.79,5472.0,FALSE POSITIVE
757450,0.843,5332.0,CONFIRMED
7585481,1.076,6214.0,CONFIRMED
7663691,1.001,6063.0,CONFIRMED
5812701,1.367,6823.0,CONFIRMED
8013419,0.541,3950.0,CANDIDATE
8018547,0.509,3960.0,CANDIDATE
8039892,0.827,5865.0,CONFIRMED
8150320,0.646,4500.0,CONFIRMED
8150320,0.646,4500.0,CONFIRMED
11086270,1.626,5869.0,CONFIRMED
7767559,0.975,5600.0,FALSE POSITIVE
7825899,0.837,5191.0,CONFIRMED
7825899,0.837,5191.0,CONFIRMED
7849854,1.08,5855.0,CONFIRMED
7870390,0.509,3906.0,CONFIRMED
7870390,0.509,3906.0,CONFIRMED
5094751,1.302,5945.0,CONFIRMED
7870390,0.509,3906.0,CONFIRMED
7907423,0.411,3561.0,CONFIRMED
7907423,0.411,3561.0,CONFIRMED
7907423,0.411,3561.0,CONFIRMED
7938496,1.142,5942.0,CONFIRMED
8490993,0.999,6077.0,CONFIRMED
8490993,0.999,6077.0,CONFIRMED
8505670,0.591,4201.0,CONFIRMED
8505670,0.591,4201.0,CONFIRMED
8544996,0.794,5655.0,CONFIRMED
8552202,0.738,5662.0,CANDIDATE
8150320,0.646,4500.0,CONFIRMED
8150320,0.646,4500.0,CONFIRMED
8150320,0.646,4500.0,CONFIRMED
8180063,0.827,5865.0,FALSE POSITIVE
8226994,0.838,5029.0,CONFIRMED
8226994,0.838,5029.0,CONFIRMED
8226994,0.838,5029.0,CONFIRMED
8247638,0.866,5527.0,CONFIRMED
8247638,0.866,5527.0,CONFIRMED
8247638,0.866,5527.0,CONFIRMED
11086270,1.626,5869.0,CONFIRMED
8247638,0.866,5527.0,CONFIRMED
8255887,1.21,5560.0,CONFIRMED
8256049,0.592,4187.0,FALSE POSITIVE
8414716,0.801,5198.0,CONFIRMED
9140402,0.829,5569.0,CANDIDATE
9141746,1.107,6123.0,CONFIRMED
9159275,0.753,5525.0,FALSE POSITIVE
9166862,1.046,6033.0,CONFIRMED
9166870,0.965,5936.0,FALSE POSITIVE
11449844,0.879,5510.0,CONFIRMED
8605074,1.096,6140.0,FALSE POSITIVE
8628973,0.944,5609.0,CONFIRMED
8655354,0.866,5931.0,FALSE POSITIVE
8672910,0.9,5231.0,CONFIRMED
8686150,1.147,6257.0,FALSE POSITIVE
8689031,0.708,5481.0,CONFIRMED
8689373,0.775,5196.0,CONFIRMED
8689373,0.775,5196.0,CONFIRMED
8689373,0.775,5196.0,CONFIRMED
8826878,0.884,5431.0,CONFIRMED
5897826,1.796,5855.0,FALSE POSITIVE
8883593,0.891,5897.0,CONFIRMED
8951215,1.031,6225.0,CANDIDATE
9016295,0.997,6108.0,FALSE POSITIVE
9077124,0.998,6007.0,CONFIRMED
9097120,0.924,6192.0,FALSE POSITIVE
9466668,1.25,5553.0,CONFIRMED
9466668,1.25,5553.0,CONFIRMED
9466668,1.25,5553.0,CONFIRMED
9466668,1.25,5553.0,CONFIRMED
9479273,0.712,5085.0,CONFIRMED
8359498,0.994,5524.0,CONFIRMED
9171801,0.811,5450.0,FALSE POSITIVE
9334289,1.06,5561.0,CONFIRMED
9334289,1.06,5561.0,CONFIRMED
9334289,1.06,5561.0,CONFIRMED
9347899,1.257,6035.0,CONFIRMED
9347899,1.257,6035.0,CONFIRMED
9347899,1.257,6035.0,CONFIRMED
9347899,1.257,6035.0,CANDIDATE
9388479,0.458,3582.0,CONFIRMED
9388479,0.458,3582.0,CONFIRMED
11359879,0.978,5514.0,CONFIRMED
9406990,0.88,5537.0,CONFIRMED
9415172,1.013,5344.0,CONFIRMED
9415172,1.013,5344.0,CONFIRMED
9415172,1.013,5344.0,CONFIRMED
9904059,7.119,5047.0,FALSE POSITIVE
3231341,1.24,5896.0,CONFIRMED
3231341,1.24,5896.0,CONFIRMED
3231341,1.24,5896.0,CONFIRMED
2860866,1.215,6520.0,CANDIDATE
7626506,0.812,5551.0,CONFIRMED
10460629,1.309,6449.0,CANDIDATE
10319385,0.954,5630.0,CANDIDATE
10482160,0.762,5757.0,CONFIRMED
10485069,1.064,6167.0,FALSE POSITIVE
3233043,1.783,5075.0,FALSE POSITIVE
6579806,0.917,6113.0,FALSE POSITIVE
3560301,3.482,6980.0,FALSE POSITIVE
4044005,1.132,6224.0,FALSE POSITIVE
11502218,13.652,4813.0,CANDIDATE
11180361,4.051,8523.0,CANDIDATE
5802246,0.846,5582.0,FALSE POSITIVE
6066403,0.902,5758.0,FALSE POSITIVE
6209637,,,FALSE POSITIVE
5988031,0.901,5948.0,FALSE POSITIVE
7684873,2.234,8090.0,FALSE POSITIVE
8559644,1.235,5873.0,CONFIRMED
2851100,0.711,4768.0,FALSE POSITIVE
3130300,4.434,5772.0,FALSE POSITIVE
3240158,1.176,6049.0,CONFIRMED
3240158,1.176,6049.0,CONFIRMED
3228959,0.848,5901.0,FALSE POSITIVE
3218908,4.885,4941.0,CONFIRMED
10341913,2.188,6215.0,FALSE POSITIVE
10480921,1.015,6253.0,FALSE POSITIVE
10287723,0.726,4500.0,CANDIDATE
10350571,1.487,5676.0,CONFIRMED
10350571,1.487,5676.0,CONFIRMED
3749365,0.503,3807.0,CONFIRMED
11013201,4.24,7221.0,CANDIDATE
11673674,1.033,6013.0,FALSE POSITIVE
11013201,4.24,7221.0,CANDIDATE
