index,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,sci_std_dev,sci_skewness,sci_kurtosis,sci_mad,sci_amplitude,sci_transit_depth_p1,sci_transit_depth_p5,sci_transit_depth_min,sci_below_above_ratio,sci_transit_fraction,sci_low_cluster_mean_gap,sci_low_cluster_std_gap,sci_rms,sci_snr_approx,sci_iqr,sci_cv,sci_max_sigma,kepid,target_label,target_id
KIC 2693736,2000.0099646372414,1.0000012515256675,1.0000049823186208,2000.0,0.00031363968000080555,9.83698488710077e-08,1.000005031503299,1.0018089796829004,1.0018089796829004,0.9986768504462689,0.0003123078490955874,0.14641426885080672,1.0359252019813905,0.00020733104565728855,0.003132129236631531,0.0007051740769300485,0.0004801443152382401,0.0013190660591055892,1.0,0.01867572156196944,50.906976744186046,62.60314798292138,1.0000014920394196,2.2579454181896574,0.00041367122830437975,0.00031230912440821846,4.223608413702934,2693736,1,KIC 2693736
KIC 11037511,2000.0186381560843,0.999995052481155,1.0000093190780421,2000.0,0.0004031133491668583,1.6250037227652145e-07,1.000009400327468,1.0036634811622385,1.0036634811622385,0.9981337034406105,0.00039499728014581303,0.4979002649384594,3.1187116326180826,0.00024770447376754046,0.005529777721627993,0.0008387054042998665,0.0006299363096258226,0.0018572441878468293,0.9994110718492344,0.022091310751104567,45.0945945945946,50.747964656009,1.000005029382315,2.123319441567443,0.0004960548442971557,0.0003950008558403198,4.701916395883102,11037511,1,KIC 11037511
KIC 9597345,1999.9892141420748,0.999998420575346,0.9999946070710374,2000.0,0.00014201194200314809,2.0167391671505496e-08,0.9999946171547877,1.000772238699754,1.000772238699754,0.9990485679194769,0.00014033694397261903,-0.9419620768683583,5.727850258260386,8.129530028355703e-05,0.0017236707802770201,0.00036107970559817737,0.0002173526366362477,0.0009505379322629626,1.0,0.03607809847198642,27.964285714285715,36.82340302313302,0.9999956728062694,2.5729483297614575,0.00016328310884128339,0.00014033706945476552,6.773255176829423,9597345,1,KIC 9597345
KIC 3966801,2000.0089571573021,0.9999968413647231,1.000004478578651,2000.0,0.00028587892421346774,8.172675930944963e-08,1.0000045194418468,1.0011785712774606,1.0011785712774606,0.9985937494458991,0.00028309050280195627,0.0220232430142163,1.160868366097401,0.00018208487805482232,0.0025848218315615012,0.0006714522686539492,0.0004239849705998111,0.0014005886226172715,1.0,0.022071307300509338,45.35294117647059,50.0148305571778,1.0000018100614525,2.3718643402307356,0.0003622825801358198,0.00028309210565006203,4.947494206815874,3966801,1,KIC 3966801
KIC 8491277,1999.9873165549707,0.9999988079065236,0.9999936582774853,2000.0,0.00019764903421326817,3.9065140725437646e-08,0.9999936778101793,1.0011759755517249,1.0011759755517249,0.9989622137342714,0.0001986466128643274,-0.501226883030624,4.096289350495477,0.00011145581772786795,0.0022137618174534746,0.0007055354034712913,0.0003039519857911399,0.0010354610041450885,1.0,0.039473684210526314,25.391304347826086,31.178293913268483,0.9999916984982508,3.551711218721666,0.00022341481666987573,0.00019864707477073904,5.212578202137745,8491277,1,KIC 8491277
KIC 12506770,1999.9912017956394,0.999977263778893,0.9999956008978197,2000.0,0.0005789930601048933,3.352329636496286e-07,0.9999957685150248,1.0029896167841847,1.0029896167841847,0.9979645457806173,0.0005857992481355807,0.3600000060843963,1.2014235439120773,0.000385365874182253,0.005605951582993485,0.001283559316763494,0.000871498250695768,0.0020196298377824773,1.0,0.016553480475382003,59.36842105263158,51.47478741687224,1.0000031864630998,2.1911248961972376,0.0007712637795082022,0.0005858085181931172,3.447648395265681,12506770,1,KIC 12506770
KIC 3231341,2000.0139618470585,1.0000032504400578,1.0000069809235292,2000.0,0.0004349105786918911,1.891472114581156e-07,1.00000707549647,1.0028925431678588,1.0028925431678588,0.9978781947267306,0.0004310040702801636,0.353247411355646,4.1755022156257855,0.000231672146764339,0.005014348441128247,0.0011834123364059534,0.0006345562989926723,0.0021241606207003105,1.0,0.039473684210526314,24.945652173913043,50.74774874647681,1.0000038119211798,2.745710349409706,0.0004627264436699585,0.00043100305511822504,4.928400372923513,3231341,1,KIC 3231341
KIC 10872983,1999.975991723144,1.0000025929213714,0.999987995861572,2000.0,0.00044138856236973224,1.94823862990819e-07,0.9999880932746682,1.002299568196765,1.002299568196765,0.9975223501828546,0.00043828263567147863,-0.4677629932068894,2.6698186744495658,0.0002632910729707394,0.00501788440126294,0.0013529615545947449,0.0007097578940675753,0.002720581268214728,0.9994110718492344,0.03799705449189985,26.1796875,28.627847454923042,0.9999857835309521,3.086961345210303,0.0005231327583876677,0.0004382816429356315,6.20736722559545,10872983,1,KIC 10872983
KIC 8367644,1999.9858547844437,1.0000016059048389,0.9999929273922219,2000.0,0.0005930073335565744,3.5165769765187833e-07,0.9999931032222988,1.0029480772121289,1.0029480772121289,0.9965624018011039,0.0005993447211803245,-0.21052341563654728,1.5442607075753276,0.0003848907583187122,0.006473411868709311,0.0014254311886173765,0.0009764439676932524,0.0034437613985347504,1.0,0.026152980877390326,37.84782608695652,38.288928693442095,0.9999977322989999,2.3783160812865622,0.0007686307508342205,0.0005993410273219215,5.745877584026686,8367644,1,KIC 8367644
KIC 10922659,1999.97709549974,0.9999885582694922,0.99998854774987,2000.0,0.00038453834063634554,1.478697354193541e-07,0.9999886216855817,1.0020468058381784,1.0020468058381784,0.998555973097723,0.00037937903653858965,0.2549144322494011,1.1612775487519968,0.0002473030790917097,0.003490832740455363,0.0008738083183489342,0.0006092921497767856,0.0014406292130935139,1.0,0.023059617547806523,40.333333333333336,37.54634995657672,0.9999958326245489,2.3032593638316445,0.0004941859728158082,0.0003793803255550182,3.7973347874928667,10922659,1,KIC 10922659
