index,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,sci_std_dev,sci_skewness,sci_kurtosis,sci_mad,sci_amplitude,sci_transit_depth_p1,sci_transit_depth_p5,sci_transit_depth_min,sci_below_above_ratio,sci_transit_fraction,sci_low_cluster_mean_gap,sci_low_cluster_std_gap,sci_rms,sci_snr_approx,sci_iqr,sci_cv,sci_max_sigma,target_label
train_104,864.0024337831281,1.0000010895272387,1.0000028168786206,864.0,0.00021089110843774253,4.4475059618099677e-08,1.0000028391160873,1.0007668517783963,1.0007668517783963,0.9992152412644324,0.00021089110843774253,-0.02024230961576453,0.16168281326407863,0.0001363662243837882,0.001551610513963908,0.0004777689687421871,0.00034742861237202494,0.0007858482628062546,1.0,0.02662037037037037,34.63636363636363,42.9455738586596,1.0000028391160873,2.265477061984479,0.00027356450210647143,0.00021089087866638583,3.7263224069887517,1
train_105,1116.6221890006323,0.9999970198157221,0.9996617627579519,1117.0,0.0021751509950940304,4.73128185145855e-06,0.9996641291964953,1.0004271114962047,1.0004271114962047,0.9854671041929055,0.0021751509950940304,-6.316509825557499,37.93033470035914,3.754388607413173e-05,0.014960007303299161,0.014431206402639507,0.00011427996886825831,0.01452991562281658,0.998211091234347,0.052820053715308866,18.137931034482758,26.263550378385673,0.9996641291964953,6.634576834062803,7.491924463576272e-05,0.002175157477464147,6.679957233124618,1
train_106,863.7697222881714,0.9999969011055374,0.9997334748705687,864.0,0.0013775121549495558,1.897539737033769e-06,0.9997344238929252,1.0003644484065917,1.0003644484065917,0.9924860454756611,0.0013775121549495558,-4.8719900950356205,21.854414113504397,5.820546062973442e-05,0.007878402930930561,0.007312707810254615,0.0001888982348862145,0.007510855629876301,1.0,0.05787037037037037,16.428571428571427,22.654458497079958,0.9997344238929252,5.308633963032003,0.00011760543870886764,0.0013775164237275735,5.452478660815408,1
train_107,863.9834120610582,0.9999990464434938,0.9999808009965951,864.0,8.798766029185048e-05,7.741828363634082e-09,0.9999808048675835,1.0000731096155246,1.0000731096155246,0.9994802246807315,8.798766029185048e-05,-4.212150219696586,17.691686233155075,9.191800592445176e-06,0.0005928849347931475,0.00048395020792380006,0.00016005390293216681,0.0005188217627623004,1.0,0.08217592592592593,6.271428571428571,26.2482224859793,0.9999808048675835,5.500205441519442,1.821679687630251e-05,8.798774419313642e-05,5.896528684151797,1
train_108,587.865827605805,0.9999719690957305,0.9997718156561308,588.0,0.0015328837028679876,2.349732446518273e-06,0.9997729907898107,1.002945057998194,1.002945057998194,0.9890321475892986,0.0015328837028679876,-3.716496309424563,20.11187115488269,0.0005463649055768571,0.013912910408895418,0.00815442820458323,0.0019368319018593372,0.010939821506431913,1.0,0.05782312925170068,17.0,27.3085623158301,0.9997729907898107,5.3196652748845175,0.0010911451355143376,0.001532926672188788,7.136758963490691,0
train_109,573.0540313815198,1.0002163882671626,1.0000942956047467,573.0,0.021018641665739243,0.0004417832974727497,1.0003151420420602,1.0480312231924473,1.0480312231924473,0.9561659520122339,0.021018641665739243,0.06114825508342115,-0.6306590967249006,0.014763325385799941,0.09186527118021348,0.041525488865907345,0.03516710298837522,0.04405043625492877,0.9965156794425087,0.0,0.0,0.0,1.0003151420420602,1.975650450028587,0.029308275251754723,0.021014094462252563,2.095779401707569,0
train_110,524.9982976362285,0.9999997615975065,0.99999675740234,525.0,2.556169978815403e-05,6.534004960597138e-10,0.9999967577290412,1.000056504650905,1.000056504650905,0.9998443775303849,2.556169978815403e-05,-2.4653489821956613,10.589603344493261,1.015738492360363e-05,0.00021212712051998928,0.00012124860964457529,4.5877244147729535e-05,0.00015538406712156672,0.9961977186311787,0.06666666666666667,13.735294117647058,26.080541341739835,0.9999967577290412,4.74337038027358,2.0504196759918436e-05,2.5561705882128453e-05,6.07878460389304,1
train_111,670.0000150080494,1.0000002861043746,1.0000000224000738,670.0,1.0678356610900349e-05,1.1402729990955918e-10,1.0000000224570873,1.0000396716550672,1.0000396716550672,0.999954866477911,1.0678356610900349e-05,-0.07857743608946363,0.45686218977060467,7.295610661262053e-06,8.480517715625524e-05,2.367314916085217e-05,1.72036320161828e-05,4.541962646364972e-05,1.0,0.020895522388059702,50.61538461538461,53.63772848620422,1.0000000224570873,2.2169281307469055,1.4436317964716672e-05,1.0678353555776683e-05,4.253428511395271,0
train_112,1166.6659846227817,0.9999895111229773,0.999713782881561,1167.0,0.0014443867229225653,2.086253005354987e-06,0.9997148263061655,1.0015718260214161,1.0015718260214161,0.9908398458845682,0.0014443867229225653,-5.116201028394736,25.75519025577976,0.00010985998087620352,0.010731980136847952,0.008841100428840787,0.0005289120994377283,0.0091496652384091,0.9982876712328768,0.060839760068551844,16.571428571428573,25.1046788061346,0.9997148263061655,6.12100643721769,0.00021738002082760666,0.0014444018730761833,6.334636765350286,0
train_113,670.0000750402471,1.0000014305218734,1.0000001120003688,670.0,5.339178305449997e-05,2.8506824977387904e-09,1.0000001134257102,1.0001983582753367,1.0001983582753367,0.9997743323895547,5.339178305449997e-05,-0.07857743607803568,0.45686218977257687,3.6478053306310265e-05,0.00042402588578194234,0.00011836574580459391,8.601816008091401e-05,0.0002270981323186927,1.0,0.020895522388059702,50.61538461538461,53.63772848620422,1.0000001134257102,2.2169281307532174,7.218158982358336e-05,5.339170667649571e-05,4.25342851140373,0
